# convert to json using something like:
# cat forte.txt| awk {'print "'\''\{\"fn\":\""$2"\",\"pf\":\""$4"\",\"iv\":\""$3"\" },'\'' +"'}
(012)	3–1	210000	0,1,2	
(013)	3–2	111000	0,1,3	
(014)	3–3	101100	0,1,4	
(015)	3–4	100110	0,1,5	
(016)	3–5	100011	0,1,6	
(024)	3–6	020100	0,2,4	
(025)	3–7	011010	0,2,5	
(026)	3–8	010101	0,2,6	
(027)	3–9	010020	0,2,7	
(036)	3–10	002001	0,3,6	
(037)	3–11	001110	0,3,7	
(048)	3–12	000300	0,4,8	
(0123)	4–1	321000	0,1,2,3	
(0124)	4–2	221100	0,1,2,4	
(0125)	4–4	211110	0,1,2,5	
(0126)	4–5	210111	0,1,2,6	
(0127)	4–6	210021	0,1,2,7	
(0134)	4–3	212100	0,1,3,4	
(0135)	4–11	121110	0,1,3,5	
(0136)	4–13	112011	0,1,3,6	
(0137)	4–Z29	111111	0,1,3,7	
(0145)	4–7	201210	0,1,4,5	
(0146)	4–Z15	111111	0,1,4,6	
(0147)	4–18	102111	0,1,4,7	
(0148)	4–19	101310	0,1,4,8	
(0156)	4–8	200121	0,1,5,6	
(0157)	4–16	110121	0,1,5,7	
(0158)	4–20	101220	0,1,5,8	
(0167)	4–9	200022	0,1,6,7	
(0235)	4–10	122010	0,2,3,5	
(0236)	4–12	112101	0,2,3,6	
(0237)	4–14	111120	0,2,3,7	
(0246)	4–21	030201	0,2,4,6	
(0247)	4–22	021120	0,2,4,7	
(0248)	4–24	020301	0,2,4,8	
(0257)	4–23	021030	0,2,5,7	
(0258)	4–27	012111	0,2,5,8	
(0268)	4–25	020202	0,2,6,8	
(0347)	4–17	102210	0,3,4,7	
(0358)	4–26	012120	0,3,5,8	
(0369)	4–28	004002	0,3,6,9	
(01234)	5–1	432100	0,1,2,3,4	
(01235)	5–2	332110	0,1,2,3,5	
(01236)	5–4	322111	0,1,2,3,6	
(01237)	5–5	321121	0,1,2,3,7	
(01245)	5–3	322210	0,1,2,4,5	
(01246)	5–9	231211	0,1,2,4,6	
(01247)	5–Z36	222121	0,1,2,4,7	
(01248)	5–13	2221311	0,1,2,4,8	
(01256)	5–6	311221	0,1,2,5,6	
(01257)	5–14	221131	0,1,2,5,7	
(01258)	5–Z38	212221	0,1,2,5,8	
(01267)	5–7	310132	0,1,2,6,7	
(01268)	5–15	220222	0,1,2,6,8	
(01346)	5–10	223111	0,1,3,4,6	
(01347)	5–16	213211	0,1,3,4,7	
(01348)	5–Z17	212320	0,1,3,4,8	
(01356)	5–Z12	222121	0,1,3,5,6	
(01357)	5–24	131221	0,1,3,5,7	
(01358)	5–27	122230	0,1,3,5,8	
(01367)	5–19	212122	0,1,3,6,7	
(01369)	5–31	114112	0,1,3,6,9	
(01457)	5–Z18	212221	0,1,4,5,7	
(01458)	5–21	202420	0,1,4,5,8	
(01468)	5–30	121321	0,1,4,6,8	
(01469)	5–32	113221	0,1,4,6,9	
(01478)	5–22	202321	0,1,4,7,8	
(01568)	5–20	211231	0,1,5,6,8	Forte prime form for 5–20: (01378)
(02346)	5–8	232201	0,2,3,4,6	
(02347)	5–11	222220	0,2,3,4,7	
(02357)	5–23	132130	0,2,3,5,7	
(02358)	5–25	123121	0,2,3,5,8	
(02368)	5–28	122212	0,2,3,6,8	
(02458)	5–26	122311	0,2,4,5,8	
(02468)	5–33	040402	0,2,4,6,8	
(02469)	5–34	032221	0,2,4,6,9	
(02479)	5–35	032140	0,2,4,7,9	
(03458)	5–Z37	212320	0,3,4,5,8	
(012345)	6–1	543210	0,1,2,3,4,5	
(012346)	6–2	4443211	0,1,2,3,4,6	
(012347)	6–Z36	433221	0,1,2,3,4,7	
(012348)	6–Z37	432321	0,1,2,3,4,8	
(012357)	6–9	342231	0,1,2,3,5,7	
(012358)	6–Z40	333231	0,1,2,3,5,8	
(012367)	6–5	422232	0,1,2,3,6,7	
(012368)	6–Z41	332232	0,1,2,3,6,8	
(012369)	6–Z42	324222	0,1,2,3,6,9	
(012378)	6–Z38	421242	0,1,2,3,7,8	
(012458)	6–15	323421	0,1,2,4,5,8	
(012468)	6–22	241422	0,1,2,4,6,8	
(012469)	6–Z46	233331	0,1,2,4,6,9	
(012478)	6–Z17	322332	0,1,2,4,7,8	
(012479)	6–Z47	233241	0,1,2,4,7,9	
(012569)	6–Z44	313431	0,1,2,5,6,9	
(012578)	6–18	322242	0,1,2,5,7,8	
(012579)	6–Z48	232341	0,1,2,5,7,9	
(012678)	6–7	420243	0,1,2,6,7,8	
(013457)	6–Z10	333321	0,1,3,4,5,7	
(013458)	6–14	323430	0,1,3,4,5,8	
(013469)	6–27	225222	0,1,3,4,6,9	
(013479)	6–Z49	224322	0,1,3,4,7,9	
(013579)	6–34	142422	0,1,3,5,7,9	
(013679)	6–30	224223	0,1,3,6,7,9	
(023679)	6–Z29	224232	0,2,3,6,7,9	Forte prime form for 6–Z29: (013689)
(014568)	6–16	322431	0,1,4,5,6,8	
(014579)  6	6–31	223431	0,1,4,5,7,9	Forte prime form for 6–31: (013589)
(014589)	6–20	303630	0,1,4,5,8,9	
(023457)	6–8	343230	0,2,3,4,5,7	
(023468)	6–21	242412	0,2,3,4,6,8	
(023469)	6–Z45	234222	0,2,3,4,6,9	
(023579)	6–33	143241	0,2,3,5,7,9	
(024579)	6–32	143250	0,2,4,5,7,9	
(02468T)	6–35	060603	0,2,4,6,8T	
(012356)	6–Z3	433221	0,1,2,3,5,6	
(012456)	6–Z4	432321	0,1,2,4,5,6	
(012457)	6–Z11	333231	0,1,2,4,5,7	
(012457)	6–Z12	332232	0,1,2,4,5,7	
(013467)	6–Z13	324222	0,1,3,4,6,7	
(012567)	6–Z6	421242	0,1,2,5,6,7	
(013468)	6–Z24	233331	0,1,3,4,6,8	
(012568)	6–Z43	233331	0,1,2,5,6,8	
(013568)	6–Z25	233241	0,1,3,5,6,8	
(013478)	6–Z19	313431	0,1,3,4,7,8	
(013578)	6–Z26	232341	0,1,3,5,7,8	
(023458)	6–Z39	333321	0,2,3,4,5,8	
(013569)	6–Z28	224322	0,1,3,5,6,9	
(014679)	6–Z50	224232	0,1,4,6,7,9	
(023568)	6–Z23	234222	0,2,3,5,6,8	
(0123456)	7–1	654321	0,1,2,3,4,5,6	
(0123457)	7–2	554331	0,1,2,3,4,5,7	
(0123467)	7–4	544332	0,1,2,3,4,6,7	
(0123567)	7–5	543342	0,1,2,3,5,6,7	
(0123458)	7–3	544431	0,1,2,3,4,5,8	
(0123468)	7–9	453432	0,1,2,3,4,6,8	
(0123568)	7–Z36	444342	0,1,2,3,5,6,8	
(0124568)	7–13	443532	0,1,2,4,5,6,8	
(0123478)	7–6	533442	0,1,2,3,4,7,8	
(0123578)	7–14	443352	0,1,2,3,5,7,8	
(0124578)	7–Z38	434442	0,1,2,4,5,7,8	
(0123678)	7–7	532353	0,1,2,3,6,7,8	
(0124678)	7–15	442443	0,1,2,4,6,7,8	
(0123469)	7–10	445332	0,1,2,3,4,6,9	
(0123569)	7–16	435432	0,1,2,3,5,6,9	
(0124569)	7–Z17	434541	0,1,2,4,5,6,9	
(0123479)	7–Z12	444342	0,1,2,3,4,7,9	
(0123579)	7–24	353442	0,1,2,3,5,7,9	
(0124579)	7–27	344451	0,1,2,4,5,7,9	
(0123679)	7–19	434343	0,1,2,3,6,7,9	
(0134679)	7–31	336333	0,1,3,4,6,7,9	
(0145679)	7–Z18	434442	0,1,4,5,6,7,9	Forte prime form for 7–Z18: (0123589)
(0124589)	7–21	424641	0,1,2,4,5,8,9	
(0124689)	7–30	343542	0,1,2,4,6,8,9	
(0134689)	7–32	335442	0,1,3,4,6,8,9	
(0125689)	7–22	424542	0,1,2,5,6,8,9	
(0125679)	7–20	433452	0,1,2,5,6,7,9	Forte prime form for 7–20: (0124789)
(0234568)	7–8	454422	0,2,3,4,5,6,8	
(0134568)	7–11	444441	0,1,3,4,5,6,8	
(0234579)	7–23	354351	0,2,3,4,5,7,9	
(0234679)	7–25	345342	0,2,3,4,6,7,9	
(0135679)	7–28	344433	0,1,3,5,6,7,9	
(0134579)	7–26	344532	0,1,3,4,5,7,9	
(012468T)	7–33	262623	0,1,2,4,6,8,10	
(013468T)	7–34	254442	0,1,3,4,6,8,10	
(013568T)	7–35	254361	0,1,3,5,6,8,10	
(0134578)	7–Z37	434541	0,1,3,4,5,7,8	
(01234567)	8–1	765442	0,1,2,3,4,5,6,7	
(01234568)	8–2	665542	0,1,2,3,4,5,6,8	
(01234578)	8–4	655552	0,1,2,3,4,5,7,8	
(01234678)	8–5	654553	0,1,2,3,4,6,7,8	
(01235678)	8–6	654463	0,1,2,3,5,6,7,8	
(01234569)	8–3	656542	0,1,2,3,4,5,6,9	
(01234579)	8–11	565552	0,1,2,3,4,5,7,9	
(01234679)	8–13	556453	0,1,2,3,4,6,7,9	
(01235679)	8–Z29	555553	0,1,2,3,5,6,7,9	
(01234589)	8–7	645652	0,1,2,3,4,5,8,9	
(01234689)	8–Z15	555553	0,1,2,3,4,6,8,9	
(01235689)	8–18	546553	0,1,2,3,5,6,8,9	
(01245689)	8–19	545752	0,1,2,4,5,6,8,9	
(01234789)	8–8	644563	0,1,2,3,4,7,8,9	
(01235789)	8–16	554563	0,1,2,3,5,7,8,9	
(01245789)	8–20	545662	0,1,2,4,5,7,8,9	
(01236789)	8–9	644464	0,1,2,3,6,7,8,9	
(02345679)	8–10	566452	0,2,3,4,5,6,7,9	
(01345679)	8–12	556543	0,1,3,4,5,6,7,9	
(01245679)	8–14	555562	0,1,2,4,5,6,7,9	
(0123468T)	8–21	474643	0,1,2,3,4,6,8,10	
(0123568T)	8–22	465562	0,1,2,3,5,6,8,10	
(0124568T)	8–24	464743	0,1,2,4,5,6,8,10	
(0123578T)	8–23	465472	0,1,2,3,5,7,8,10	
(0124578T)	8–27	456553	0,1,2,4,5,7,8,10	
(0124678T)	8–25	464644	0,1,2,4,6,7,8,10	
(01345689)	8–17	546652	0,1,3,4,5,6,8,9	
(0134578T)	8–26	456562	0,1,3,4,5,7,8,10	Forte prime form for 8–26: (0124579T)
(0134679T)	8–28	448444	0,1,3,4,6,7,9,10	
(012345678)	9–1	876663	0,1,2,3,4,5,6,7,8	
(012345679)	9–2	777663	0,1,2,3,4,5,6,7,9	
(012345689)	9–3	767763	0,1,2,3,4,5,6,8,9	
(012345789)	9–4	766773	0,1,2,3,4,5,7,8,9	
(012346789)	9–5	766674	0,1,2,3,4,6,7,8,9	
(01234568T)	9–6	686763	0,1,2,3,4,5,6,8,10	
(01234578T)	9–7	677673	0,1,2,3,4,5,7,8,10	
(01234678T)	9–8	676764	0,1,2,3,4,6,7,8,10	
(01235678T)	9–9	676683	0,1,2,3,5,6,7,8,10	
(01234679T)	9–10	668664	0,1,2,3,4,6,7,9,10	
(01235679T)	9–11	667773	0,1,2,3,5,6,7,9,10	
(01245689T)	9–12	666963	0,1,2,4,5,6,8,9,10	
